step,pred_iou,anch_mi,stab,unc_global,unc_boundary,iou_gt,dice_gt,d_pred,d_mi,d_stab,d_pred_ema,d_mi_ema,d_stab_ema
1,0.6334401965141296,-6.468672752380371,0.6627870542343178,0.010533295571804047,0.010533295571804047,0.6854474722867124,0.8133715034817894,0.0,0.0,0.0,0.0,0.0,0.0
2,0.673090934753418,-6.541511058807373,0.5196638734953325,0.008301175199449062,0.008301175199449062,0.6223681906591474,0.7672342126065566,0.03965073823928833,-0.07283830642700195,-0.14312320947647095,0.015860294923186302,-0.02913532219827175,-0.0572492852807045
3,0.692155122756958,-6.5319671630859375,0.41003831298521065,0.006067272275686264,0.006067272275686264,0.49901951496776714,0.6657945543537469,0.01906418800354004,0.009543895721435547,-0.10962554812431335,0.017141852527856827,-0.013663636520504951,-0.07819978892803192
4,0.7677806615829468,-6.620478630065918,0.3495979786259667,0.003483314299955964,0.003483314299955964,0.34463188512900506,0.5126040650091245,0.07562553882598877,-0.08851146697998047,-0.06044033169746399,0.040535327047109604,-0.04360277205705643,-0.0710960105061531
5,0.7908097505569458,-6.688029766082764,0.3787533529864617,0.0030242707580327988,0.0030242707580327988,0.33703345746040075,0.5041511198987819,0.023029088973999023,-0.0675511360168457,0.029155373573303223,0.03353283181786537,-0.05318211764097214,-0.030995456501841545
6,0.7603464126586914,-6.449906826019287,0.8474963082292326,0.004796426277607679,0.004796426277607679,0.5699888654615825,0.7261056151426956,-0.030463337898254395,0.23812294006347656,0.4687429666519165,0.007934365421533585,0.06333990395069122,0.16889990866184235
7,0.7874746322631836,-6.541670799255371,0.8779361055375474,0.005508280824869871,0.005508280824869871,0.7100611345433528,0.8304511694933813,0.027128219604492188,-0.09176397323608398,0.030439794063568115,0.015611907467246056,0.0012983530759811401,0.11351586878299713
8,0.7818456888198853,-6.6442766189575195,0.8423767192216871,0.0050848680548369884,0.0050848680548369884,0.6673807030098211,0.8005138860071,-0.00562894344329834,-0.10260581970214844,-0.03555941581726074,0.007115567103028297,-0.04026331752538681,0.05388576164841652
9,0.8437477350234985,-6.960286617279053,0.9361082401577703,0.0023649665527045727,0.0023649665527045727,0.530158053126678,0.6929454797736343,0.06190204620361328,-0.3160099983215332,0.09373152256011963,0.02903015911579132,-0.15056198835372925,0.06982406973838806
10,0.8574702143669128,-6.668992519378662,0.8962633479061574,0.0032850541174411774,0.0032850541174411774,0.5889116926328881,0.7412768064624645,0.013722479343414307,0.2912940979003906,-0.03984487056732178,0.022907087579369545,0.0261804461479187,0.025956494733691216
11,0.8611321449279785,-6.795281410217285,0.8284119661656845,0.0034543429501354694,0.0034543429501354694,0.6745846043083366,0.8056739594676545,0.003661930561065674,-0.12628889083862305,-0.06785142421722412,0.015209024772047997,-0.03480729088187218,-0.011566673405468464
12,0.9029006361961365,-6.734217166900635,0.8724820614884579,0.0028092695865780115,0.0028092695865780115,0.8952059004301973,0.9447056915842151,0.04176849126815796,0.06106424331665039,0.04407012462615967,0.02583281137049198,0.00354132242500782,0.01068804506212473
